"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.066833331E-3,-1.789079590E0,2.835553436E0,8.275540924E0,8.928927520E0
1.210483334E-2,-2.965483246E0,2.303410034E0,7.580087128E0,8.459167189E0
2.214283333E-2,-3.881428528E0,1.720671844E0,7.594307556E0,8.700557814E0
3.218083334E-2,-5.014572144E0,1.537303162E0,8.109536133E0,9.657836770E0
4.221783334E-2,-6.274502106E0,1.239272919E0,8.233927460E0,1.042606040E1
5.225583333E-2,-6.919211426E0,1.080153809E0,8.271349640E0,1.083777855E1
6.229383334E-2,-6.894662476E0,1.338666229E0,7.828271027E0,1.051713959E1
7.233183333E-2,-6.383625183E0,1.745520172E0,6.923552399E0,9.577739241E0
8.236883333E-2,-5.067112885E0,2.055824890E0,5.938750305E0,8.072843622E0
9.240683334E-2,-3.407364349E0,2.491718445E0,5.302722931E0,6.777732888E0
1.024448333E-1,-2.480192413E0,2.422711945E0,4.414020996E0,5.612884190E0
1.124828333E-1,-7.896080017E-1,2.510878601E0,3.487148438E0,4.369004048E0
1.225208333E-1,2.994672546E0,3.578608246E0,3.593427429E0,5.889585837E0
1.325578333E-1,3.251688080E0,2.894381104E0,3.656745758E0,5.685306226E0
1.425958333E-1,2.811902618E0,2.075434113E0,3.993395691E0,5.306734611E0
1.526338333E-1,2.742147675E0,1.295705566E0,4.305346985E0,5.266330738E0
1.626718333E-1,1.025816803E0,-6.491999817E-1,4.516557770E0,4.676863780E0
1.727088333E-1,-7.123686218E-1,-2.564317474E0,4.517306213E0,5.243019034E0
1.827468333E-1,-1.460063782E0,-3.523223419E0,4.215533752E0,5.684682430E0
1.927848333E-1,-1.219663696E0,-3.811074829E0,3.392245789E0,5.245874796E0
2.028228333E-1,-1.354682922E-1,-3.924389191E0,2.179916840E0,4.491238093E0
2.128608333E-1,5.818400574E-1,-4.543950806E0,1.398242340E0,4.789687716E0
2.228978333E-1,1.573527832E0,-5.482199707E0,1.156045990E0,5.819531407E0
2.329358333E-1,2.457140350E0,-6.361920319E0,6.780899048E-2,6.820276160E0
2.429738333E-1,2.076332245E0,-7.823480988E0,-1.377435608E0,8.210684454E0
2.530118333E-1,1.597777405E0,-9.441166992E0,-1.265917511E0,9.658730453E0
2.630488333E-1,8.668473816E-1,-1.060544586E1,-4.858895874E-1,1.065190100E1
2.730868333E-1,-1.073118439E0,-1.115375565E1,1.275347900E-1,1.120598560E1
2.831248333E-1,-3.231330414E0,-1.109657455E1,5.860313416E-1,1.157233321E1
2.931628333E-1,-6.351591797E0,-1.087009552E1,6.165678406E-1,1.260483442E1
3.032008333E-1,-9.665101318E0,-1.055949142E1,-1.074765015E-1,1.431532723E1
3.132378333E-1,-1.172586594E1,-1.003094055E1,-2.978805542E-1,1.543387291E1
3.232758333E-1,-1.309357178E1,-9.380543060E0,-8.232879639E-1,1.612805050E1
3.333138333E-1,-1.434706512E1,-8.916058960E0,-8.249345398E-1,1.691197511E1
3.433518333E-1,-1.478580276E1,-8.835077362E0,4.799020386E-1,1.723104354E1
3.533888333E-1,-1.467832626E1,-9.158105621E0,2.604733429E0,1.749596515E1
3.634268333E-1,-1.517798721E1,-1.008647507E1,5.413193207E0,1.901081102E1
3.734648333E-1,-1.608180771E1,-1.114537308E1,8.672216034E0,2.140213100E1
3.835028333E-1,-1.739547592E1,-1.172152496E1,1.203676941E1,2.418430375E1
3.935398333E-1,-1.912048874E1,-1.123952728E1,1.501078491E1,2.678140636E1
4.035778333E-1,-2.098665802E1,-1.019005966E1,1.691228073E1,2.881496782E1
4.136158333E-1,-2.263517990E1,-9.148675232E0,1.725207413E1,2.989454280E1
4.236538333E-1,-2.319411758E1,-8.246950378E0,1.609797409E1,2.941299119E1
4.336918333E-1,-2.204795105E1,-7.200177155E0,1.408645706E1,2.713637723E1
4.437288333E-1,-2.045481400E1,-6.562802582E0,1.160162430E1,2.441449323E1
4.537668333E-1,-1.936478073E1,-6.191724243E0,9.616602173E0,2.249024720E1
4.638048333E-1,-1.837773331E1,-5.598208466E0,7.898175659E0,2.077166816E1
4.738428333E-1,-1.794797699E1,-5.428162079E0,6.716083832E0,1.991734429E1
4.838798333E-1,-1.802102509E1,-5.634882202E0,6.341862030E0,1.991804349E1
4.939178333E-1,-1.810410233E1,-5.582790527E0,5.502856750E0,1.972834264E1
5.039558333E-1,-1.879461639E1,-5.646108856E0,2.799478455E0,1.982304796E1
5.139938333E-1,-1.925446014E1,-6.037694550E0,1.436862030E0,2.022999168E1
5.240308333E-1,-1.799797302E1,-5.492827606E0,5.269492035E0,1.954138517E1
