"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.856187505E-2,-2.798580322E0,5.259313202E0,6.118975525E0,8.540157414E0
3.863587504E-2,-2.904709625E0,5.221741333E0,6.021677856E0,8.483190718E0
4.871087504E-2,-3.000660095E0,5.284760284E0,6.147566071E0,8.644375100E0
5.878487503E-2,-3.120860138E0,5.363496552E0,6.141578522E0,8.730741664E0
6.885887502E-2,-3.210373993E0,5.329367523E0,6.174659729E0,8.765562283E0
7.893287501E-2,-3.278332672E0,5.289101257E0,6.238277435E0,8.811252044E0
8.900787501E-2,-3.503165131E0,5.347928925E0,6.204896851E0,8.909166888E0
9.908187500E-2,-3.504212952E0,5.334756317E0,6.150260468E0,8.863680793E0
1.091558750E-1,-3.510499878E0,5.216651917E0,6.126459961E0,8.778985036E0
1.192298750E-1,-3.610791321E0,5.124593353E0,6.113437042E0,8.756333906E0
1.293037500E-1,-3.688180389E0,5.056035919E0,6.241121521E0,8.838425858E0
1.393777500E-1,-3.547922058E0,5.167554016E0,6.273154907E0,8.868136102E0
1.494517500E-1,-3.724554749E0,5.208868103E0,6.261778564E0,8.956254004E0
1.595267500E-1,-3.958967285E0,5.301974487E0,6.489754486E0,9.268293733E0
1.696007500E-1,-3.868106232E0,5.536237335E0,6.735693054E0,9.538434388E0
1.796747500E-1,-3.817361755E0,5.588778076E0,7.002288666E0,9.738518250E0
1.897487500E-1,-3.993994446E0,5.625152435E0,7.336693268E0,1.007081921E1
1.998237500E-1,-4.323159943E0,5.877826996E0,7.627388763E0,1.055535984E1
2.098977500E-1,-4.595443726E0,5.988297272E0,7.908504181E0,1.093262300E1
2.199717500E-1,-4.645290070E0,5.736520844E0,7.994575195E0,1.088115912E1
2.300467500E-1,-4.464915161E0,5.272635498E0,8.149503021E0,1.068412617E1
2.401207500E-1,-4.231400757E0,4.933440857E0,8.339607697E0,1.057320423E1
2.501947500E-1,-4.085603943E0,4.779860229E0,8.672515411E0,1.071222418E1
2.602687500E-1,-4.066443787E0,4.601431274E0,9.057963867E0,1.094330134E1
2.703437500E-1,-3.973337402E0,4.488116913E0,8.999435577E0,1.081297574E1
2.804177500E-1,-3.920946350E0,4.481231232E0,8.639434204E0,1.049262012E1
