"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.326800000E-2,-3.351380768E0,3.966152344E0,8.800499268E0,1.021816543E1
3.328900000E-2,-3.366948395E0,3.882925415E0,8.373736725E0,9.825116692E0
4.331100000E-2,-3.419938202E0,3.580703888E0,8.072563019E0,9.470147376E0
5.333300000E-2,-3.627107391E0,3.310665436E0,8.098309479E0,9.470957189E0
6.335400000E-2,-3.960613861E0,3.245550842E0,8.581654358E0,9.993240413E0
7.337600000E-2,-4.117936707E0,3.275338898E0,9.241631927E0,1.063451966E1
8.339862501E-2,-4.141138458E0,3.216062164E0,9.881102142E0,1.118607452E1
9.341962500E-2,-4.104165344E0,3.049308929E0,1.037687119E1,1.156814219E1
1.034416250E-1,-3.731290741E0,2.946472778E0,1.064002396E1,1.165394106E1
1.134636250E-1,-3.140319672E0,2.837798767E0,1.099613342E1,1.178259987E1
1.234846250E-1,-2.775827637E0,2.600691833E0,1.113220047E1,1.176412786E1
1.335066250E-1,-2.759810944E0,2.287243652E0,1.079555054E1,1.137505830E1
1.435286250E-1,-2.766546936E0,1.881587219E0,1.020293289E1,1.073750399E1
1.535496250E-1,-2.611020355E0,1.533261566E0,9.816885681E0,1.027324500E1
1.635716250E-1,-2.039209442E0,1.127156067E0,9.789941711E0,1.006338982E1
1.735936250E-1,-2.553390198E0,9.352551270E-1,9.655521240E0,1.003113125E1
1.836146250E-1,-3.446582794E0,1.398691406E0,9.712253265E0,1.040015068E1
1.936366250E-1,-4.086352386E0,1.687291260E0,1.020637573E1,1.112273947E1
2.036586250E-1,-4.339925079E0,1.626817017E0,1.049527496E1,1.147311117E1
2.136796250E-1,-4.201163635E0,1.370549927E0,1.059287201E1,1.147767923E1
2.237016250E-1,-3.747906189E0,1.169218597E0,1.058718384E1,1.129169317E1
2.337236250E-1,-3.153641968E0,6.291416931E-1,1.025098297E1,1.074355289E1
2.437446250E-1,-2.908751221E0,-9.683363342E-1,9.623038788E0,1.009957348E1
2.537666250E-1,-2.669398956E0,-2.018253021E0,9.009764099E0,9.611185419E0
2.637886250E-1,-2.377805328E0,-2.790197754E0,8.443491669E0,9.204983066E0
2.738096250E-1,-2.210453339E0,-2.810854797E0,6.852899323E0,7.729763113E0
2.838316250E-1,-4.023632812E0,1.348695374E0,5.640720062E0,7.058776313E0
2.938536250E-1,-4.540807343E0,4.650828552E0,6.284082184E0,9.040952739E0
3.038746250E-1,-3.057242432E0,3.383414154E0,5.866001587E0,7.429952708E0
3.138966250E-1,-2.088157654E0,1.999242554E0,5.721851349E0,6.410690761E0
3.239186250E-1,-1.873354340E0,9.346563721E-1,6.339467010E0,6.676217566E0
3.339396250E-1,-2.157014465E0,4.252656555E-1,7.472311249E0,7.789030600E0
3.439616250E-1,-2.368225250E0,2.377056885E-1,8.715775452E0,9.034917629E0
3.539826250E-1,-3.090323639E0,1.862127686E-1,1.018212616E1,1.064239017E1
3.640046250E-1,-3.632945251E0,2.694396973E-1,1.158291321E1,1.214227192E1
3.740266250E-1,-4.220024414E0,4.529580688E-1,1.420501053E1,1.482552195E1
3.840476250E-1,-3.990701294E0,4.677772522E-1,1.242536133E1,1.305887118E1
3.940696250E-1,-2.635419617E0,1.042581940E0,5.522166595E0,6.206991023E0
4.040916250E-1,-2.905158691E0,2.028731232E0,5.152734833E0,6.253508910E0
4.141126250E-1,-2.269131317E0,1.928888855E0,4.325105896E0,5.251296046E0
4.241346250E-1,-3.210673370E0,2.474055176E0,6.527326355E0,7.683447263E0
