"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.161499997E-3,-1.430126038E0,4.168232117E0,5.293292542E0,6.887551480E0
1.119950000E-2,-1.882485352E0,4.232149200E0,5.393434296E0,7.109428349E0
2.123750000E-2,-2.026485901E0,4.486620026E0,5.748795319E0,7.568688921E0
3.127550000E-2,-2.121687927E0,4.618196411E0,6.052962799E0,7.903648297E0
4.131350000E-2,-2.052382050E0,4.623435516E0,6.166576538E0,7.975907112E0
5.135250000E-2,-1.804497528E0,4.556225281E0,6.177354126E0,7.885119158E0
6.139050001E-2,-1.668131104E0,4.449497223E0,6.043682098E0,7.688093406E0
7.142850000E-2,-1.706451416E0,4.355043640E0,5.919290771E0,7.544294850E0
8.146650001E-2,-1.775457916E0,4.262386322E0,6.185587006E0,7.718916671E0
9.150450000E-2,-1.946252747E0,4.243375854E0,6.806645508E0,8.253760444E0
1.015425000E-1,-2.110311584E0,4.246369629E0,7.357500000E0,8.753163786E0
1.115805000E-1,-2.173929291E0,4.358486481E0,7.850424957E0,9.238589988E0
1.216185000E-1,-1.906585236E0,4.524491272E0,8.192463684E0,9.551049667E0
1.316575000E-1,-1.628912659E0,4.597988434E0,7.989485779E0,9.360915398E0
1.416955000E-1,-1.523232422E0,4.656666412E0,7.458988953E0,8.924197179E0
1.517335000E-1,-1.528321838E0,4.758604431E0,6.983876953E0,8.588051064E0
1.617715000E-1,-1.496438141E0,4.959486694E0,6.919211426E0,8.643571145E0
1.718095000E-1,-1.544937286E0,5.227579193E0,7.288942566E0,9.101818454E0
1.818475000E-1,-1.663041687E0,5.396278381E0,7.838599548E0,9.660702402E0
1.918855000E-1,-1.794618073E0,5.453309784E0,8.488697662E0,1.024779145E1
2.019235000E-1,-1.833237762E0,5.433850250E0,9.045390015E0,1.071011530E1
2.119625000E-1,-1.836979980E0,5.238207092E0,9.529932404E0,1.102873160E1
2.220005000E-1,-1.873354340E0,5.138664093E0,1.005099884E1,1.144281009E1
2.320385000E-1,-2.159708862E0,5.125940552E0,1.075618240E1,1.210929679E1
2.420765000E-1,-2.431094513E0,5.007237396E0,1.134371063E1,1.263575949E1
2.521145000E-1,-2.381397858E0,4.789290619E0,1.171134613E1,1.287493645E1
2.621525000E-1,-2.155517578E0,4.787793732E0,1.181987045E1,1.293362139E1
2.721905000E-1,-1.867366791E0,4.910538483E0,1.133457962E1,1.249292368E1
2.822285000E-1,-1.645079041E0,5.042264557E0,1.045650558E1,1.172472712E1
2.922675000E-1,-1.516496429E0,5.301226044E0,1.052147049E1,1.187872469E1
3.023055000E-1,-1.434616699E0,5.473517761E0,1.154249725E1,1.285483429E1
3.123435000E-1,-1.232536926E0,5.429808655E0,1.243359421E1,1.362337088E1
3.223815000E-1,-8.464897156E-1,5.241200867E0,1.292651917E1,1.397432034E1
3.324195000E-1,-7.613168335E-1,4.846771088E0,1.225112366E1,1.319700057E1
3.424575000E-1,-9.611512756E-1,4.621489563E0,1.176149185E1,1.267338424E1
3.524955000E-1,-1.028062134E0,4.291425934E0,1.181523010E1,1.261241098E1
3.625335000E-1,-5.789959717E-1,3.647315369E0,1.245499969E1,1.299096467E1
3.725725000E-1,-8.936416626E-2,3.049308929E0,1.274374924E1,1.310379394E1
3.826105000E-1,5.580395508E-1,2.276166687E0,1.254107071E1,1.275816591E1
3.926485000E-1,1.358724518E0,1.046773224E0,1.279374527E1,1.290820609E1
4.026865000E-1,2.938090210E0,6.486012268E-1,1.258552826E1,1.294019239E1
4.127245000E-1,2.336640930E0,5.623805237E-1,1.286484741E1,1.308741616E1
4.227625000E-1,1.099014587E0,1.473236389E0,1.215801727E1,1.229616373E1
4.328005000E-1,8.773255920E-1,1.543739777E0,1.009395950E1,1.024894390E1
4.428385000E-1,1.178199921E0,2.013762360E0,8.250542908E0,8.574080252E0
4.528775000E-1,1.412612457E0,3.409459991E0,6.007307739E0,7.050364364E0
4.629155000E-1,1.860780487E0,4.226910095E0,6.739135895E0,8.169775124E0
4.729535000E-1,2.241139526E0,3.664379883E0,6.833290100E0,8.071198170E0
4.829915000E-1,1.901944885E0,3.109932861E0,6.647825775E0,7.581732275E0
4.930295000E-1,9.696835327E-1,2.528691559E0,6.351142731E0,6.904460959E0
5.030675000E-1,-5.119354248E-2,2.006876678E0,6.407126312E0,6.714271544E0
5.131055000E-1,-9.533674622E-1,2.089804230E0,6.107898560E0,6.525535691E0
5.231445000E-1,-1.574276276E0,2.379302216E0,5.908662872E0,6.561381087E0
5.331825000E-1,-2.155816956E0,2.403551788E0,5.639821930E0,6.498630575E0
5.432205000E-1,-2.708168335E0,2.286345520E0,5.204676819E0,6.296841459E0
5.532585000E-1,-2.943329315E0,2.135758667E0,4.669389954E0,5.918433499E0
5.632965000E-1,-2.908751221E0,2.002984772E0,4.057911530E0,5.379537865E0
5.733345000E-1,-3.116818542E0,1.720522156E0,3.624113617E0,5.080251354E0
5.833725000E-1,-2.465971985E0,1.838327179E0,5.146298218E0,5.995402405E0
5.934105000E-1,-3.541635132E-1,2.950664062E0,9.689500580E0,1.013500230E1
6.034495000E-1,-1.114881592E0,2.439477081E0,8.923992462E0,9.318350222E0
6.134875000E-1,-2.187101898E0,4.026626587E-1,6.833290100E0,7.186056326E0
6.235252500E-1,-1.835333405E0,-1.105301514E0,5.410049744E0,5.818829639E0
6.335632500E-1,3.499722290E0,-2.745291138E-1,4.340523834E0,5.582434012E0
6.436012500E-1,8.750652924E0,1.910177765E0,2.919828186E0,9.420621122E0
6.536392500E-1,5.027145996E0,1.009650421E0,2.852019196E0,5.867333665E0
6.636772500E-1,1.094823303E0,2.658471680E-1,3.016377411E0,3.219913891E0
6.737162500E-1,-2.158361664E0,-2.461930389E0,2.183509369E0,3.935395721E0
6.837542500E-1,-1.910626831E0,-4.582271118E0,4.546046448E-1,4.985415617E0
6.937922500E-1,-2.642005920E-1,-4.892426147E0,-4.752616882E-1,4.922551090E0
7.038302500E-1,1.053359528E0,-4.560266876E0,-3.505709839E-1,4.693452918E0
7.138682500E-1,2.155068512E0,-4.272116089E0,-1.308279419E-1,4.786691145E0
7.239062500E-1,2.298320618E0,-4.418811035E0,-2.019300842E-1,4.984871552E0
7.339442500E-1,7.566764832E-1,-5.331014099E0,1.612147522E-1,5.386860015E0
7.439832500E-1,-9.690847778E-1,-5.976621552E0,-5.469625854E-1,6.079333726E0
7.540212500E-1,-3.226390686E0,-6.315965881E0,-2.203417969E0,7.426713447E0
7.640592500E-1,-6.183341675E0,-6.560856628E0,-3.361559601E0,9.621779301E0
7.740972500E-1,-8.477171631E0,-6.522686005E0,-4.695884857E0,1.168157550E1
7.841352500E-1,-9.690398712E0,-6.457721100E0,-5.068310394E0,1.270014800E1
7.941732500E-1,-9.059760132E0,-6.191724243E0,-3.619772644E0,1.155506195E1
8.042112500E-1,-7.909552002E0,-5.868995361E0,-1.025517426E0,9.902414120E0
8.142492500E-1,-8.388106842E0,-6.232589264E0,1.153052216E0,1.051356432E1
8.242882500E-1,-1.042701691E1,-6.591093750E0,1.963616638E0,1.249083619E1
8.343262500E-1,-1.298429901E1,-7.140151978E0,2.774181061E0,1.507547252E1
8.443642500E-1,-1.461051727E1,-8.694819031E0,3.578009491E0,1.737438473E1
8.544022500E-1,-1.606534195E1,-1.002525238E1,3.827241211E0,1.931964473E1
8.644402500E-1,-1.688189392E1,-1.055335419E1,4.284839630E0,2.036495710E1
8.744782500E-1,-1.875509857E1,-1.007794281E1,6.756200409E0,2.233752219E1
8.845162500E-1,-2.137270523E1,-9.014554138E0,9.537566528E0,2.508026895E1
8.945542500E-1,-2.421080338E1,-8.064779205E0,1.179098053E1,2.811104561E1
9.045932500E-1,-2.649205948E1,-7.618557129E0,1.318637878E1,3.055735940E1
9.146312500E-1,-2.761637146E1,-7.864944763E0,1.260364059E1,3.135878003E1
9.246692500E-1,-2.709695160E1,-7.796387329E0,1.111483658E1,3.030788732E1
9.347072500E-1,-2.493918869E1,-6.895111542E0,9.931696930E0,2.771541628E1
9.447452500E-1,-2.331416794E1,-6.244115295E0,9.343420258E0,2.588124619E1
9.547832500E-1,-2.204525665E1,-6.116281128E0,9.108858032E0,2.462465290E1
9.648212500E-1,-2.071617050E1,-6.055956573E0,9.166039124E0,2.344889344E1
9.748592500E-1,-1.965652405E1,-5.615272980E0,9.087452545E0,2.237167902E1
9.848982500E-1,-1.796803528E1,-5.213059387E0,1.131362320E1,2.186376797E1
9.949362500E-1,-1.664179321E1,-4.970413971E0,1.229109055E1,2.127734013E1
1.004974250E0,-1.479852631E1,-5.171745300E0,1.245649658E1,2.002267808E1
1.015012250E0,-1.416893555E1,-5.700146484E0,1.012704071E1,1.832504729E1
1.025050250E0,-1.382674713E1,-5.779331818E0,6.656956787E0,1.639800860E1
1.035088250E0,-1.279374527E1,-5.748196564E0,7.081473999E0,1.571206402E1
1.045126250E0,-1.098296082E1,-6.268813934E0,9.130263519E0,1.559760137E1
1.055165250E0,-1.136077515E1,-6.477030945E0,6.985673218E0,1.482628652E1
1.065203250E0,-1.228974335E1,-6.924151154E0,6.785389709E0,1.565321610E1
1.075241250E0,-1.340627151E1,-7.206464081E0,4.541855164E0,1.588362959E1
1.085279250E0,-1.631711838E1,-7.689060516E0,-9.732760620E-1,1.806425393E1
1.095317250E0,-1.664808014E1,-7.636220398E0,1.061293030E0,1.834657399E1
1.105355250E0,-1.653581360E1,-7.598199463E0,-1.448088684E0,1.825548485E1
1.115393250E0,-1.259121643E1,-7.910599823E0,-7.578739929E-1,1.488928117E1
1.125432250E0,-8.128845978E0,-4.579427032E0,-1.120869141E0,9.397107880E0
1.135470250E0,-1.203766754E1,-3.108735352E0,-7.204518127E0,1.436922951E1
1.145508250E0,-1.143621826E1,-3.734883270E0,-3.359463959E0,1.249089425E1
1.155546250E0,-8.580756226E0,-3.046015778E0,2.779719543E0,9.520211671E0
1.165584250E0,-6.208190002E0,-1.556613007E0,2.706372070E0,6.949037123E0
