"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.568250125E-3,3.403472443E0,6.916367340E0,7.117399292E0,1.049176508E1
1.164225000E-2,3.493435364E0,7.042554932E0,7.192842407E0,1.065545177E1
2.171625011E-2,3.547772369E0,6.977140961E0,7.235503693E0,1.065925412E1
3.179024998E-2,3.590882721E0,6.782395935E0,7.339088287E0,1.061873581E1
4.186425009E-2,3.582649841E0,6.632856903E0,7.539072418E0,1.066150944E1
5.193924997E-2,3.582200775E0,6.492598572E0,7.616611176E0,1.063008770E1
6.201325008E-2,3.439547424E0,6.380332031E0,7.730823669E0,1.059739392E1
7.208724995E-2,3.331621857E0,6.373596039E0,7.706723785E0,1.054115848E1
8.216125006E-2,3.293750610E0,6.405030670E0,7.544311523E0,1.043023717E1
9.223558335E-2,3.314707031E0,6.505322113E0,7.430697784E0,1.041737818E1
1.023105835E-1,3.361409912E0,6.527026978E0,7.356152802E0,1.039298522E1
1.123845833E-1,3.235521698E0,6.444398804E0,7.234455872E0,1.021451068E1
1.224585834E-1,2.836301880E0,6.352040863E0,6.915020142E0,9.808696908E0
1.325325833E-1,2.436333618E0,6.083050232E0,6.725214844E0,9.389767639E0
1.426075834E-1,2.106719055E0,5.776188354E0,6.807992706E0,9.173406225E0
1.526815833E-1,1.850901031E0,5.352269897E0,6.856940918E0,8.893270851E0
1.627555834E-1,1.643731842E0,4.944517822E0,6.855593719E0,8.610997393E0
1.728295833E-1,1.636546783E0,4.681963806E0,7.082521820E0,8.646455100E0
1.829035834E-1,1.811682587E0,4.415966949E0,7.536378021E0,8.920759585E0
1.929785833E-1,1.137783966E0,4.272415466E0,8.202941895E0,9.318601934E0
2.030525834E-1,1.024768982E0,4.789739685E0,8.376131744E0,9.703161377E0
2.131265833E-1,1.718426514E0,5.351072388E0,8.174351349E0,9.920029504E0
2.232005834E-1,1.465751953E0,5.677543488E0,8.090375977E0,9.991852295E0
2.332745835E-1,1.370250549E0,5.965993652E0,7.739056549E0,9.867302727E0
2.433495834E-1,1.262474670E0,6.054609375E0,7.350015564E0,9.605980729E0
2.534235835E-1,1.154399414E0,5.926326141E0,6.975943451E0,9.225929036E0
2.634975833E-1,1.212029572E0,5.426665192E0,6.741381226E0,8.738645868E0
2.735715834E-1,1.095272369E0,5.184618530E0,6.863227844E0,8.670858511E0
2.836465833E-1,1.097218323E0,5.172793121E0,7.258406067E0,8.980319335E0
2.937205834E-1,1.199605408E0,5.059029694E0,7.582033081E0,9.193479223E0
3.037945833E-1,1.107846222E0,4.825664978E0,7.877069550E0,9.303901892E0
3.138685834E-1,8.318202209E-1,4.668342133E0,8.124804382E0,9.407326368E0
3.239425833E-1,8.927435303E-1,4.799918518E0,8.115972748E0,9.471284096E0
3.340175834E-1,9.562115479E-1,4.996459808E0,8.112978973E0,9.575979269E0
3.440915833E-1,7.614665222E-1,4.974754944E0,7.787555695E0,9.272218813E0
3.541655834E-1,2.305206299E-1,4.831802216E0,7.499853973E0,8.924531474E0
3.642395833E-1,-1.636097717E-1,4.897515564E0,7.214996338E0,8.721731423E0
3.743135834E-1,-1.634600830E-1,5.146896973E0,6.713090057E0,8.460664617E0
3.843885835E-1,-1.748364258E-1,5.458249512E0,6.417005768E0,8.426210212E0
3.944625834E-1,-1.184037781E-1,5.653293915E0,6.459517365E0,8.584818934E0
4.045365835E-1,2.008822632E-1,5.806575165E0,6.590794373E0,8.786082135E0
4.146105833E-1,4.079017639E-1,5.836662598E0,6.942113800E0,9.078874277E0
4.246845834E-1,5.204676819E-1,5.801934814E0,7.058421936E0,9.151756904E0
