"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.995291667E-3,-3.446582794E0,4.666994934E0,7.761509857E0,9.690243028E0
1.301629167E-2,-4.074976044E0,4.622836761E0,7.915539551E0,1.003154105E1
2.303729167E-2,-4.156556396E0,4.584366760E0,8.910969543E0,1.084890584E1
3.305729167E-2,-3.962410126E0,4.321363678E0,9.797276459E0,1.141759625E1
4.307829167E-2,-3.638483734E0,3.683540039E0,1.014111145E1,1.138635906E1
5.309929167E-2,-2.903811493E0,2.927761688E0,1.029259644E1,1.108789660E1
6.312029167E-2,-1.889820099E0,2.067051544E0,1.072699310E1,1.108659114E1
7.314129167E-2,-1.660796356E0,1.639839935E0,1.130404312E1,1.154247419E1
8.316229167E-2,-2.777773590E0,1.844614105E0,1.138158188E1,1.185997611E1
9.318329167E-2,-3.297343140E0,1.914069672E0,1.066487228E1,1.132588342E1
1.032042917E-1,-3.218008118E0,1.597028961E0,9.932894440E0,1.056259768E1
1.132252917E-1,-2.661615143E0,8.481362915E-1,9.692793732E0,1.008730790E1
1.232452917E-1,-1.994452515E0,1.893562317E-1,9.284143524E0,9.497842786E0
1.332662917E-1,-1.497485962E0,-2.104623413E-1,8.728049927E0,8.858081854E0
1.432872917E-1,-1.191222839E0,-3.513194275E-1,8.814120941E0,8.901188974E0
1.533082917E-1,-8.921447754E-1,-2.163002014E-1,9.520202637E0,9.564359169E0
1.633292917E-1,-5.764512634E-1,-2.152523804E-1,1.051159103E1,1.052958573E1
1.733502917E-1,-1.820214844E-1,-7.818241882E-1,1.074615326E1,1.077609348E1
1.833712917E-1,1.345701599E-1,-9.262738037E-1,1.002016296E1,1.006378448E1
1.933922917E-1,-1.704954529E-1,-7.870632935E-1,8.570278015E0,8.608031284E0
2.034132917E-1,-1.014889526E0,-9.419911194E-1,6.739435272E0,6.880213355E0
2.134332917E-1,-3.306025085E0,-5.748046875E-1,2.567760315E0,4.225351504E0
2.234542917E-1,-8.405919800E0,1.327289886E0,8.737330627E-1,8.554799564E0
2.334749583E-1,-5.498216400E0,1.422491913E0,3.232527924E0,6.534761174E0
2.434959583E-1,-5.883964233E0,-5.176235962E-1,6.099216614E0,8.490548427E0
2.535169583E-1,-9.444609833E0,1.585203552E0,9.389225006E0,1.341160212E1
2.635379583E-1,-1.016461258E1,3.793860626E0,1.249511627E1,1.654813156E1
2.735589583E-1,-4.820126495E0,1.351988525E0,1.183064804E1,1.284623390E1
2.835799583E-1,-1.013991394E0,-1.495839386E0,1.007494904E1,1.023573701E1
2.935999583E-1,-1.753004608E0,-9.997709656E-1,9.935439148E0,1.013831930E1
3.036209583E-1,-2.817291412E0,8.669970703E-1,1.074944641E1,1.114627350E1
3.136419583E-1,-1.890568542E0,1.875000916E0,1.068268524E1,1.100952505E1
3.236629583E-1,-4.623884583E-1,1.508712616E0,9.611063690E0,9.739741378E0
3.336839583E-1,-3.591032410E-1,1.340312805E0,8.632249146E0,8.743061184E0
3.437049583E-1,-8.075706482E-1,1.300645294E0,8.825946350E0,8.957743997E0
3.537259583E-1,-5.496569824E-1,6.140231323E-1,9.149423676E0,9.186462910E0
3.637469583E-1,4.520599365E-2,-2.341131592E-1,9.238039398E0,9.241115976E0
3.737679583E-1,5.875282288E-1,-5.613327026E-1,8.674012299E0,8.711990196E0
3.837879583E-1,5.267546082E-1,-9.265731812E-2,7.963290253E0,7.981230948E0
3.938089583E-1,1.086590424E0,-1.041983185E0,7.300917664E0,7.454515842E0
4.038299583E-1,2.418670349E0,-4.778063965E-1,6.733148346E0,7.170324390E0
4.138509583E-1,3.798051910E0,2.371069336E-1,6.285429382E0,7.347655445E0
4.238719583E-1,4.069138184E0,2.121089172E-1,6.060896301E0,7.303241727E0
4.338929583E-1,3.117117920E0,-4.198768616E-1,5.566923523E0,6.394009557E0
4.439139583E-1,1.800306244E0,-6.966513062E-1,5.201084290E0,5.547765622E0
4.539349583E-1,2.550246735E0,-5.005590820E-1,5.072501678E0,5.699525514E0
4.639549583E-1,3.950734406E0,-8.303233337E-1,4.784650269E0,6.260241000E0
4.739759583E-1,4.981341248E0,-4.891827393E-1,4.126019897E0,6.486686409E0
4.839969583E-1,4.674329681E0,-1.055305481E-1,2.857707367E0,5.479688500E0
4.940179583E-1,3.775149536E0,-6.688092041E-1,1.853296051E0,4.258375984E0
5.040389583E-1,2.754422150E0,-1.794767761E0,1.538201294E0,3.629613742E0
5.140599583E-1,1.942660217E0,-3.191513214E0,1.266815643E0,3.945187852E0
